"anchor_sid","anchor_paper","anchor_repo","anchor_sim","anchor_is_blueprint_gold","anchor_lean_annotation","k1_total","k1_resolved","k1_annotated_only","k1_matched_only","k1_none","k2_total","k2_resolved","k2_annotated_only","k2_matched_only","k2_none","k1_unformalized_examples"
"19327ed8-2fc7-49ac-9da9-a3bc141c7880","Sphere Packing in Dimension 8","thefundamentaltheor3m/Sphere-Packing-Lean","0.8497635126113892","False","IsZLattice","2","2","0","0","0","5","5","0","0","0","[]"
"2e9fc365-735e-4dc6-81d3-cc15170a3da7","Brownian motion project","RemyDegenne/brownian-motion","0.8495182394981384","False","MeasureTheory.IsMeasurableAnalyticFor.isMeasurableAnalytic","3","3","0","0","0","4","4","0","0","0","[]"
"4856da6d-0883-4e4b-9e88-5417e7cdd147","Sphere Packing in Dimension 8","thefundamentaltheor3m/Sphere-Packing-Lean","0.8492918014526367","False","Δ","8","7","0","0","1","22","9","0","0","13","[{""sid"": ""43e1866f-fd75-4087-ab51-5469741a8458"", ""ref"": ""6.50"", ""label"": ""cor:logder-disc-E2"", ""kind"": ""corollary"", ""src_paper"": ""Sphere Packing in Dimension 8"", ""body_head"": ""\\uses{thm:ramanujan-formula, def:disc-definition} \\begin{equation} \\Delta' = E_2 \\Delta. \\end{equation}""}]"
"c503a0d1-c99f-43db-841f-d7759ab16da6","Fermat's Last Theorem","ImperialCollegeLondon/FLT","0.8491734862327576","True","QHat.injective_rat","1","1","0","0","0","0","0","0","0","0","[]"
"b79c2c51-2da4-4654-a7d5-bdb21cef635c","The sphere eversion project","leanprover-community/sphere-eversion","0.8490850925445557","False","sphere_eversion","1","1","0","0","0","2","2","0","0","0","[]"
"a6350101-2b0c-4ad5-a503-7e7e744b8071","Brownian motion project","RemyDegenne/brownian-motion","0.8490532040596008","True","MeasureTheory.Martingale.classDL","8","8","0","0","0","62","48","3","0","11","[]"
"e07bfb14-ce92-41b6-b99b-51586b8d5ddb","Brownian motion project","RemyDegenne/brownian-motion","0.8489892482757568","False","ProbabilityTheory.lintegral_sup_rpow_edist_le_of_minimal_cover_of_le_one","4","4","0","0","0","31","31","0","0","0","[]"
"b483c0e4-a718-4355-bd2e-7f892211fcaa","Brownian motion project","RemyDegenne/brownian-motion","0.8487794399261475","False","MeasureTheory.IsProjectiveLimit","2","2","0","0","0","2","2","0","0","0","[]"
"d353c8fe-1e0a-4e06-a769-7dc0e1aad7b4","Class Field Theory","kbuzzard/ClassFieldTheory","0.8486695289611816","True","Rep.split.FiniteClassFormation","2","0","0","0","2","5","1","0","0","4","[{""sid"": ""c74870a0-c477-4646-a062-5c314cd75e6c"", ""ref"": ""69"", ""label"": ""lem:restriction fundamental class generates"", ""kind"": ""lemma"", ""src_paper"": ""Class Field Theory"", ""body_head"": ""\\uses{def:fundamental class} Let $\\sigma \\in H^2(G,M)$ be a fundamental class. Then the restriction of $\\sigma$ to any subgroup $S$ of $G$ i""}, {""sid"": ""061e9f05-237f-4aa2-8813-e5b70db88a5c"", ""ref"": ""65"", ""label"": ""lem:splits in splitting module"", ""kind"": ""lemma"", ""src_paper"": ""Class Field Theory"", ""body_head"": ""\\uses{def:splitting module} The image of $\\sigma'$ in $H^2(G,\\mathrm{split}(\\sigma))$ is zero.""}]"
"1533852d-4e1e-462f-a6a1-80a6e0e7cc02","The sphere eversion project","leanprover-community/sphere-eversion","0.8485269546508789","False","nice_atlas","0","0","0","0","0","0","0","0","0","0","[]"
"f8cfdc61-16dc-4643-b599-a38374646d4c","Brownian motion project","RemyDegenne/brownian-motion","0.8485122919082642","True","MeasureTheory.IsPavingAnalytic.nullMeasurableSet","5","5","0","0","0","28","27","0","0","1","[]"
"8bdec393-9290-4704-b3e8-3aa7aa5e3a10","Fermat's Last Theorem for regular primes","leanprover-community/flt-regular","0.8485047221183777","False","IsCyclotomicExtension.Rat.isIntegralClosure_adjoin_singleton_of_prime_pow","4","3","1","0","0","5","5","0","0","0","[]"
"49e8a3ff-ff41-4021-986a-c0db199af38e","Brownian motion project","RemyDegenne/brownian-motion","0.8483822345733643","False","MeasureTheory.UniformIntegrable.comp","12","12","0","0","0","36","32","2","0","2","[]"
"35dcf25e-9651-4cd3-b1cd-03db65f7293e","The Polynomial Freiman-Ruzsa Conjecture","teorth/pfr","0.848301351070404","True","single_fibres","4","4","0","0","0","17","17","0","0","0","[]"
"2ce8ab6a-2140-48e5-945a-9180d2a02eda","Brownian motion project","RemyDegenne/brownian-motion","0.8482005596160889","False","ProbabilityTheory.wienerMeasure","2","2","0","0","0","4","4","0","0","0","[]"
"71d7a451-8501-470e-ae27-ceb328405afc","Fermat's Last Theorem for regular primes","leanprover-community/flt-regular","0.8481563925743103","True","exists_int_sub_pow_prime_dvd","2","2","0","0","0","3","2","1","0","0","[]"
"987c6f41-425f-435e-b3a8-5c6e41b848e3","The sphere eversion project","leanprover-community/sphere-eversion","0.8481293320655823","False","RelMfld.Ample","0","0","0","0","0","0","0","0","0","0","[]"
